"county_fips","state_po","county_name","party","candidatevotes","lon","lat","rMapState","rMapCounty"
1065,"AL","HALE","DEMOCRAT",4663,-87.62219763,32.76490176,"alabama","hale"
1065,"AL","HALE","REPUBLICAN",3192,-87.62219763,32.76490176,"alabama","hale"
1067,"AL","HENRY","DEMOCRAT",2606,-85.2541057,31.51595712,"alabama","henry"
1067,"AL","HENRY","REPUBLICAN",6607,-85.2541057,31.51595712,"alabama","henry"
1069,"AL","HOUSTON","DEMOCRAT",12917,-85.31543021,31.15254068,"alabama","houston"
1069,"AL","HOUSTON","REPUBLICAN",32618,-85.31543021,31.15254068,"alabama","houston"
1071,"AL","JACKSON","DEMOCRAT",3717,-85.99775089,34.77683646,"alabama","jackson"
1071,"AL","JACKSON","REPUBLICAN",19670,-85.99775089,34.77683646,"alabama","jackson"
1073,"AL","JEFFERSON","REPUBLICAN",138843,-86.89025434,33.56305784,"alabama","jefferson"
1073,"AL","JEFFERSON","DEMOCRAT",181688,-86.89025434,33.56305784,"alabama","jefferson"
1075,"AL","LAMAR","REPUBLICAN",6174,-88.09795652,33.78170368,"alabama","lamar"
1075,"AL","LAMAR","DEMOCRAT",978,-88.09795652,33.78170368,"alabama","lamar"
1077,"AL","LAUDERDALE","DEMOCRAT",11915,-87.65420478,34.90408733,"alabama","lauderdale"
1077,"AL","LAUDERDALE","REPUBLICAN",31721,-87.65420478,34.90408733,"alabama","lauderdale"
1079,"AL","LAWRENCE","REPUBLICAN",12322,-87.30558826,34.52482237,"alabama","lawrence"
1079,"AL","LAWRENCE","DEMOCRAT",3562,-87.30558826,34.52482237,"alabama","lawrence"
1081,"AL","LEE","DEMOCRAT",27860,-85.35526336,32.60991751,"alabama","lee"
1081,"AL","LEE","REPUBLICAN",42221,-85.35526336,32.60991751,"alabama","lee"
1083,"AL","LIMESTONE","DEMOCRAT",13672,-86.97369268,34.81222508,"alabama","limestone"
1083,"AL","LIMESTONE","REPUBLICAN",34640,-86.97369268,34.81222508,"alabama","limestone"
1085,"AL","LOWNDES","REPUBLICAN",1836,-86.65003578,32.15780715,"alabama","lowndes"
1085,"AL","LOWNDES","DEMOCRAT",4972,-86.65003578,32.15780715,"alabama","lowndes"
1087,"AL","MACON","DEMOCRAT",7108,-85.69511359,32.39385812,"alabama","macon"
1087,"AL","MACON","REPUBLICAN",1541,-85.69511359,32.39385812,"alabama","macon"
1089,"AL","MADISON","REPUBLICAN",102780,-86.54312668,34.76518768,"alabama","madison"
1089,"AL","MADISON","DEMOCRAT",87286,-86.54312668,34.76518768,"alabama","madison"
1091,"AL","MARENGO","REPUBLICAN",5343,-87.77831202,32.25123243,"alabama","marengo"
1091,"AL","MARENGO","DEMOCRAT",5488,-87.77831202,32.25123243,"alabama","marengo"
1093,"AL","MARION","DEMOCRAT",1463,-87.88319784,34.13791708,"alabama","marion"
1093,"AL","MARION","REPUBLICAN",12205,-87.88319784,34.13791708,"alabama","marion"
1095,"AL","MARSHALL","REPUBLICAN",33191,-86.30606724,34.370296,"alabama","marshall"
1095,"AL","MARSHALL","DEMOCRAT",5943,-86.30606724,34.370296,"alabama","marshall"
1097,"AL","MOBILE","DEMOCRAT",79474,-88.20696476,30.81361759,"alabama","mobile"
1097,"AL","MOBILE","REPUBLICAN",101243,-88.20696476,30.81361759,"alabama","mobile"
1099,"AL","MONROE","REPUBLICAN",6147,-87.36400237,31.57220015,"alabama","monroe"
1099,"AL","MONROE","DEMOCRAT",4455,-87.36400237,31.57220015,"alabama","monroe"
1101,"AL","MONTGOMERY","REPUBLICAN",33311,-86.2071019,32.2253798,"alabama","montgomery"
1101,"AL","MONTGOMERY","DEMOCRAT",64529,-86.2071019,32.2253798,"alabama","montgomery"
1103,"AL","MORGAN","REPUBLICAN",39664,-86.84793577,34.45799994,"alabama","morgan"
1103,"AL","MORGAN","DEMOCRAT",13234,-86.84793577,34.45799994,"alabama","morgan"
1105,"AL","PERRY","REPUBLICAN",1339,-87.28406573,32.63755143,"alabama","perry"
1105,"AL","PERRY","DEMOCRAT",3860,-87.28406573,32.63755143,"alabama","perry"
1107,"AL","PICKENS","REPUBLICAN",5594,-88.08688718,33.28043537,"alabama","pickens"
1107,"AL","PICKENS","DEMOCRAT",4022,-88.08688718,33.28043537,"alabama","pickens"
1109,"AL","PIKE","REPUBLICAN",8042,-85.94178756,31.80547499,"alabama","pike"
1109,"AL","PIKE","DEMOCRAT",5636,-85.94178756,31.80547499,"alabama","pike"
1111,"AL","RANDOLPH","DEMOCRAT",2203,-85.4565992,33.29417484,"alabama","randolph"
1111,"AL","RANDOLPH","REPUBLICAN",8559,-85.4565992,33.29417484,"alabama","randolph"
1113,"AL","RUSSELL","REPUBLICAN",9864,-85.19410539,32.29519985,"alabama","russell"
1113,"AL","RUSSELL","DEMOCRAT",11228,-85.19410539,32.29519985,"alabama","russell"
1115,"AL","ST. CLAIR","DEMOCRAT",7744,-86.31393064,33.72446506,"alabama","st clair"
1115,"AL","ST. CLAIR","REPUBLICAN",36166,-86.31393064,33.72446506,"alabama","st clair"
1117,"AL","SHELBY","DEMOCRAT",33268,-86.66510363,33.26761124,"alabama","shelby"
1117,"AL","SHELBY","REPUBLICAN",79700,-86.66510363,33.26761124,"alabama","shelby"
1119,"AL","SUMTER","REPUBLICAN",1598,-88.19206323,32.58961948,"alabama","sumter"
1119,"AL","SUMTER","DEMOCRAT",4648,-88.19206323,32.58961948,"alabama","sumter"
1121,"AL","TALLADEGA","DEMOCRAT",13138,-86.1631135,33.3865307,"alabama","talladega"
1121,"AL","TALLADEGA","REPUBLICAN",22235,-86.1631135,33.3865307,"alabama","talladega"
1123,"AL","TALLAPOOSA","DEMOCRAT",5859,-85.8010116,32.86843413,"alabama","tallapoosa"
1123,"AL","TALLAPOOSA","REPUBLICAN",14963,-85.8010116,32.86843413,"alabama","tallapoosa"
1125,"AL","TUSCALOOSA","REPUBLICAN",51117,-87.51696088,33.29437697,"alabama","tuscaloosa"
1125,"AL","TUSCALOOSA","DEMOCRAT",37765,-87.51696088,33.29437697,"alabama","tuscaloosa"
1127,"AL","WALKER","REPUBLICAN",26002,-87.28917888,33.81329044,"alabama","walker"
1127,"AL","WALKER","DEMOCRAT",4834,-87.28917888,33.81329044,"alabama","walker"
1129,"AL","WASHINGTON","REPUBLICAN",6564,-88.2056405,31.41319608,"alabama","washington"
1129,"AL","WASHINGTON","DEMOCRAT",2258,-88.2056405,31.41319608,"alabama","washington"
1131,"AL","WILCOX","REPUBLICAN",1833,-87.2977354,31.99307576,"alabama","wilcox"
1131,"AL","WILCOX","DEMOCRAT",4048,-87.2977354,31.99307576,"alabama","wilcox"
1133,"AL","WINSTON","REPUBLICAN",10195,-87.37003595,34.15314922,"alabama","winston"
1133,"AL","WINSTON","DEMOCRAT",974,-87.37003595,34.15314922,"alabama","winston"
4001,"AZ","APACHE","REPUBLICAN",4053,-109.4911465,35.4050949,"arizona","apache"
4001,"AZ","APACHE","DEMOCRAT",6539,-109.4911465,35.4050949,"arizona","apache"
4001,"AZ","APACHE","DEMOCRAT",294,-109.4911465,35.4050949,"arizona","apache"
4001,"AZ","APACHE","DEMOCRAT",16460,-109.4911465,35.4050949,"arizona","apache"
4001,"AZ","APACHE","REPUBLICAN",7262,-109.4911465,35.4050949,"arizona","apache"
4001,"AZ","APACHE","REPUBLICAN",127,-109.4911465,35.4050949,"arizona","apache"
4003,"AZ","COCHISE","REPUBLICAN",1909,-109.7629489,31.88631155,"arizona","cochise"
4003,"AZ","COCHISE","REPUBLICAN",25934,-109.7629489,31.88631155,"arizona","cochise"
4003,"AZ","COCHISE","REPUBLICAN",7714,-109.7629489,31.88631155,"arizona","cochise"
4003,"AZ","COCHISE","DEMOCRAT",1495,-109.7629489,31.88631155,"arizona","cochise"
4003,"AZ","COCHISE","DEMOCRAT",21563,-109.7629489,31.88631155,"arizona","cochise"
4003,"AZ","COCHISE","DEMOCRAT",674,-109.7629489,31.88631155,"arizona","cochise"
4005,"AZ","COCONINO","DEMOCRAT",305,-111.76825,35.83392392,"arizona","coconino"
4005,"AZ","COCONINO","REPUBLICAN",20311,-111.76825,35.83392392,"arizona","coconino"
4005,"AZ","COCONINO","REPUBLICAN",6446,-111.76825,35.83392392,"arizona","coconino"
4005,"AZ","COCONINO","DEMOCRAT",39430,-111.76825,35.83392392,"arizona","coconino"
4005,"AZ","COCONINO","REPUBLICAN",295,-111.76825,35.83392392,"arizona","coconino"
4005,"AZ","COCONINO","DEMOCRAT",4963,-111.76825,35.83392392,"arizona","coconino"
4007,"AZ","GILA","REPUBLICAN",112,-110.8133077,33.79957115,"arizona","gila"
4007,"AZ","GILA","DEMOCRAT",7481,-110.8133077,33.79957115,"arizona","gila"
4007,"AZ","GILA","REPUBLICAN",3260,-110.8133077,33.79957115,"arizona","gila"
4007,"AZ","GILA","REPUBLICAN",15005,-110.8133077,33.79957115,"arizona","gila"
4007,"AZ","GILA","DEMOCRAT",1400,-110.8133077,33.79957115,"arizona","gila"
4007,"AZ","GILA","DEMOCRAT",62,-110.8133077,33.79957115,"arizona","gila"
4009,"AZ","GRAHAM","REPUBLICAN",7289,-109.8990184,32.93441503,"arizona","graham"
4009,"AZ","GRAHAM","DEMOCRAT",35,-109.8990184,32.93441503,"arizona","graham"
4009,"AZ","GRAHAM","REPUBLICAN",146,-109.8990184,32.93441503,"arizona","graham"
4009,"AZ","GRAHAM","DEMOCRAT",1055,-109.8990184,32.93441503,"arizona","graham"
4009,"AZ","GRAHAM","DEMOCRAT",2944,-109.8990184,32.93441503,"arizona","graham"
4009,"AZ","GRAHAM","REPUBLICAN",3314,-109.8990184,32.93441503,"arizona","graham"
4011,"AZ","GREENLEE","DEMOCRAT",184,-109.2466206,33.20886115,"arizona","greenlee"
4011,"AZ","GREENLEE","REPUBLICAN",840,-109.2466206,33.20886115,"arizona","greenlee"
4011,"AZ","GREENLEE","DEMOCRAT",996,-109.2466206,33.20886115,"arizona","greenlee"
4011,"AZ","GREENLEE","REPUBLICAN",1571,-109.2466206,33.20886115,"arizona","greenlee"
4011,"AZ","GREENLEE","DEMOCRAT",2,-109.2466206,33.20886115,"arizona","greenlee"
4011,"AZ","GREENLEE","REPUBLICAN",22,-109.2466206,33.20886115,"arizona","greenlee"
4012,"AZ","LA PAZ","REPUBLICAN",1606,-113.9861542,33.72975345,"arizona","la paz"
4012,"AZ","LA PAZ","REPUBLICAN",2936,-113.9861542,33.72975345,"arizona","la paz"
4012,"AZ","LA PAZ","DEMOCRAT",186,-113.9861542,33.72975345,"arizona","la paz"
4012,"AZ","LA PAZ","REPUBLICAN",587,-113.9861542,33.72975345,"arizona","la paz"
4012,"AZ","LA PAZ","DEMOCRAT",1508,-113.9861542,33.72975345,"arizona","la paz"
4012,"AZ","LA PAZ","DEMOCRAT",542,-113.9861542,33.72975345,"arizona","la paz"
4013,"AZ","MARICOPA","REPUBLICAN",103086,-112.4891389,33.35263707,"arizona","maricopa"
4013,"AZ","MARICOPA","DEMOCRAT",59513,-112.4891389,33.35263707,"arizona","maricopa"
4013,"AZ","MARICOPA","REPUBLICAN",889400,-112.4891389,33.35263707,"arizona","maricopa"
4013,"AZ","MARICOPA","DEMOCRAT",978457,-112.4891389,33.35263707,"arizona","maricopa"
4013,"AZ","MARICOPA","REPUBLICAN",3179,-112.4891389,33.35263707,"arizona","maricopa"
4013,"AZ","MARICOPA","DEMOCRAT",2804,-112.4891389,33.35263707,"arizona","maricopa"
4015,"AZ","MOHAVE","REPUBLICAN",56914,-113.7530226,35.70647702,"arizona","mohave"
4015,"AZ","MOHAVE","REPUBLICAN",20938,-113.7530226,35.70647702,"arizona","mohave"
4015,"AZ","MOHAVE","REPUBLICAN",683,-113.7530226,35.70647702,"arizona","mohave"
4015,"AZ","MOHAVE","DEMOCRAT",21783,-113.7530226,35.70647702,"arizona","mohave"
4015,"AZ","MOHAVE","DEMOCRAT",105,-113.7530226,35.70647702,"arizona","mohave"
4015,"AZ","MOHAVE","DEMOCRAT",2943,-113.7530226,35.70647702,"arizona","mohave"
4017,"AZ","NAVAJO","REPUBLICAN",8722,-110.3227634,35.39276591,"arizona","navajo"
4017,"AZ","NAVAJO","DEMOCRAT",6425,-110.3227634,35.39276591,"arizona","navajo"
4017,"AZ","NAVAJO","DEMOCRAT",91,-110.3227634,35.39276591,"arizona","navajo"
4017,"AZ","NAVAJO","DEMOCRAT",16867,-110.3227634,35.39276591,"arizona","navajo"
4017,"AZ","NAVAJO","REPUBLICAN",148,-110.3227634,35.39276591,"arizona","navajo"
4017,"AZ","NAVAJO","REPUBLICAN",18787,-110.3227634,35.39276591,"arizona","navajo"
4019,"AZ","PIMA","REPUBLICAN",8344,-111.8001696,32.10501296,"arizona","pima"
4019,"AZ","PIMA","REPUBLICAN",33667,-111.8001696,32.10501296,"arizona","pima"
4019,"AZ","PIMA","REPUBLICAN",165747,-111.8001696,32.10501296,"arizona","pima"
4019,"AZ","PIMA","DEMOCRAT",282457,-111.8001696,32.10501296,"arizona","pima"
4019,"AZ","PIMA","DEMOCRAT",15246,-111.8001696,32.10501296,"arizona","pima"
4019,"AZ","PIMA","DEMOCRAT",7278,-111.8001696,32.10501296,"arizona","pima"
4021,"AZ","PINAL","DEMOCRAT",9812,-111.3518741,32.90667665,"arizona","pinal"
4021,"AZ","PINAL","REPUBLICAN",26277,-111.3518741,32.90667665,"arizona","pinal"
4021,"AZ","PINAL","DEMOCRAT",252,-111.3518741,32.90667665,"arizona","pinal"
4021,"AZ","PINAL","DEMOCRAT",65042,-111.3518741,32.90667665,"arizona","pinal"
4021,"AZ","PINAL","REPUBLICAN",507,-111.3518741,32.90667665,"arizona","pinal"
4021,"AZ","PINAL","REPUBLICAN",80293,-111.3518741,32.90667665,"arizona","pinal"
4023,"AZ","SANTA CRUZ","DEMOCRAT",2205,-110.8630803,31.53600577,"arizona","santa cruz"
4023,"AZ","SANTA CRUZ","REPUBLICAN",4279,-110.8630803,31.53600577,"arizona","santa cruz"
4023,"AZ","SANTA CRUZ","REPUBLICAN",36,-110.8630803,31.53600577,"arizona","santa cruz"
4023,"AZ","SANTA CRUZ","REPUBLICAN",1879,-110.8630803,31.53600577,"arizona","santa cruz"
4023,"AZ","SANTA CRUZ","DEMOCRAT",74,-110.8630803,31.53600577,"arizona","santa cruz"
4023,"AZ","SANTA CRUZ","DEMOCRAT",10859,-110.8630803,31.53600577,"arizona","santa cruz"
4025,"AZ","YAVAPAI","REPUBLICAN",266,-112.5499732,34.59798155,"arizona","yavapai"
4025,"AZ","YAVAPAI","DEMOCRAT",46865,-112.5499732,34.59798155,"arizona","yavapai"
4025,"AZ","YAVAPAI","DEMOCRAT",2665,-112.5499732,34.59798155,"arizona","yavapai"
4025,"AZ","YAVAPAI","REPUBLICAN",76416,-112.5499732,34.59798155,"arizona","yavapai"
4025,"AZ","YAVAPAI","DEMOCRAT",72,-112.5499732,34.59798155,"arizona","yavapai"
4025,"AZ","YAVAPAI","REPUBLICAN",14845,-112.5499732,34.59798155,"arizona","yavapai"
4027,"AZ","YUMA","DEMOCRAT",3570,-113.9078575,32.77978162,"arizona","yuma"
4027,"AZ","YUMA","DEMOCRAT",506,-113.9078575,32.77978162,"arizona","yuma"
4027,"AZ","YUMA","DEMOCRAT",28134,-113.9078575,32.77978162,"arizona","yuma"
4027,"AZ","YUMA","REPUBLICAN",657,-113.9078575,32.77978162,"arizona","yuma"
4027,"AZ","YUMA","REPUBLICAN",5651,-113.9078575,32.77978162,"arizona","yuma"
4027,"AZ","YUMA","REPUBLICAN",30226,-113.9078575,32.77978162,"arizona","yuma"
5001,"AR","ARKANSAS","DEMOCRAT",3,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","DEMOCRAT",224,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","DEMOCRAT",172,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","REPUBLICAN",1,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","REPUBLICAN",3658,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","DEMOCRAT",1419,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","REPUBLICAN",500,-91.37334862,34.29669057,"arkansas","arkansas"
5001,"AR","ARKANSAS","REPUBLICAN",145,-91.37334862,34.29669057,"arkansas","arkansas"
5003,"AR","ASHLEY","REPUBLICAN",1232,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","DEMOCRAT",347,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","DEMOCRAT",462,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","REPUBLICAN",12,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","DEMOCRAT",7,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","DEMOCRAT",1309,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","REPUBLICAN",4018,-91.7718601,33.18646631,"arkansas","ashley"
5003,"AR","ASHLEY","REPUBLICAN",286,-91.7718601,33.18646631,"arkansas","ashley"
5005,"AR","BAXTER","REPUBLICAN",12136,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","DEMOCRAT",1236,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","REPUBLICAN",1160,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","DEMOCRAT",2950,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","DEMOCRAT",0,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","REPUBLICAN",2540,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","DEMOCRAT",449,-92.34346141,36.2916046,"arkansas","baxter"
5005,"AR","BAXTER","REPUBLICAN",0,-92.34346141,36.2916046,"arkansas","baxter"
5007,"AR","BENTON","REPUBLICAN",5400,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","REPUBLICAN",56966,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","DEMOCRAT",0,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","DEMOCRAT",4565,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","REPUBLICAN",11599,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","REPUBLICAN",0,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","DEMOCRAT",28508,-94.26402599,36.34167755,"arkansas","benton"
5007,"AR","BENTON","DEMOCRAT",9176,-94.26402599,36.34167755,"arkansas","benton"
5009,"AR","BOONE","DEMOCRAT",489,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","REPUBLICAN",9235,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","DEMOCRAT",584,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","REPUBLICAN",6,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","REPUBLICAN",711,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","DEMOCRAT",1988,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","DEMOCRAT",3,-93.08863785,36.30918328,"arkansas","boone"
5009,"AR","BOONE","REPUBLICAN",3700,-93.08863785,36.30918328,"arkansas","boone"
5011,"AR","BRADLEY","REPUBLICAN",1444,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","REPUBLICAN",117,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","REPUBLICAN",772,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","DEMOCRAT",162,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","DEMOCRAT",290,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","REPUBLICAN",2,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","DEMOCRAT",759,-92.16599707,33.46463041,"arkansas","bradley"
5011,"AR","BRADLEY","DEMOCRAT",3,-92.16599707,33.46463041,"arkansas","bradley"
5013,"AR","CALHOUN","DEMOCRAT",300,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","DEMOCRAT",39,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","DEMOCRAT",128,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","REPUBLICAN",582,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","REPUBLICAN",24,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","REPUBLICAN",72,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","REPUBLICAN",958,-92.51042418,33.55396653,"arkansas","calhoun"
5013,"AR","CALHOUN","DEMOCRAT",12,-92.51042418,33.55396653,"arkansas","calhoun"
5015,"AR","CARROLL","DEMOCRAT",2315,-93.54763094,36.33781409,"arkansas","carroll"
5015,"AR","CARROLL","REPUBLICAN",627,-93.54763094,36.33781409,"arkansas","carroll"
5015,"AR","CARROLL","REPUBLICAN",4862,-93.54763094,36.33781409,"arkansas","carroll"
5015,"AR","CARROLL","DEMOCRAT",41,-93.54763094,36.33781409,"arkansas","carroll"
5015,"AR","CARROLL","DEMOCRAT",420,-93.54763094,36.33781409,"arkansas","carroll"
